"IT_DATETIME","DS_CODE","DS_NAME","DS_DESC","DS_LAT","DS_LON","DS_ALT","BGN.S","BGN.Q_S"
"20130101_240000_000000","10_N","Hollum","Neerslagstation (8-8)","53.437917","5.638944","1.4","0","0"
"20130101_240000_000000","11_N","West Terschelling","Neerslagstation (8-8)","53.367139","5.217778","7","0","0"
"20130101_240000_000000","12_N","Schiermonnikoog","Neerslagstation (8-8)","53.476806","6.184472","2.2","0","0"
"20130101_240000_000000","15_N","Oost-Vlieland","Neerslagstation (8-8)","53.295139","5.061225","5","0","0"
"20130101_240000_000000","16_N","Petten","Neerslagstation (8-8)","52.762083","4.653861",".4","0","0"
"20130101_240000_000000","17_N","Den Burg","Neerslagstation (8-8)","53.05025","4.803833","2.19","0","0"
"20130101_240000_000000","18_N","Nes (Ameland)","Neerslagstation (8-8)","53.448306","5.794722","2.9","0","0"
"20130101_240000_000000","19_N","De Cocksdorp","Neerslagstation (8-8)","53.15775","4.873306","1.89","0","0"
"20130101_240000_000000","21_N","Callantsoog","Neerslagstation (8-8)","52.838917","4.707111",".9","0","0"
"20130101_240000_000000","22_N","De Koog","Neerslagstation (8-8)","53.097667","4.783889",".76","0","1"
"20130101_240000_000000","24_N","Vlieland","Neerslagstation (8-8)","53.253194","4.940306","4.75","0","1"
"20130101_240000_000000","25_N","De Kooy","Neerslagstation (8-8)","52.901111","4.784972",".42","0","1"
"20130101_240000_000000","26_N","Formerum","Neerslagstation (8-8)","53.389861","5.303889","1.8","0","0"
"20130101_240000_000000","61_N","Skrins","Neerslagstation (8-8)","53.121917","5.648833",".1","0","0"
"20130101_240000_000000","64_N","Sneek","Neerslagstation (8-8)","53.031806","5.639306","-.3","0","0"
"20130101_240000_000000","65_N","Makkum","Neerslagstation (8-8)","53.059278","5.398722","-.42","0","0"
"20130101_240000_000000","66_N","Harlingen","Neerslagstation (8-8)","53.179139","5.420444","3.1","0","1"
"20130101_240000_000000","67_N","Dokkum","Neerslagstation (8-8)","53.318667","5.981722",".9","0","0"
"20130101_240000_000000","68_N","St Anna Parochie","Neerslagstation (8-8)","53.278889","5.663639","1.1","0","0"
"20130101_240000_000000","69_N","Appelscha","Neerslagstation (8-8)","52.959417","6.347","9.24","0","0"
"20130101_240000_000000","70_N","Oudemirdum","Neerslagstation (8-8)","52.861444","5.508611",".82","0","0"
"20130101_240000_000000","73_N","Drachten","Neerslagstation (8-8)","53.118361","6.091917","2.7","0","0"
"20130101_240000_000000","75_N","Oldeholtpade","Neerslagstation (8-8)","52.890806","6.054694",".6","0","0"
"20130101_240000_000000","76_N","Kornwerderzand","Neerslagstation (8-8)","53.337694","5.072472","3.9","0","0"
"20130101_240000_000000","77_N","Kollum","Neerslagstation (8-8)","53.277333","6.140028","1.1","0","0"
"20130101_240000_000000","78_N","Herbayum","Neerslagstation (8-8)","53.182806","5.509306","-.6","0","0"
"20130101_240000_000000","79_N","Heeg","Neerslagstation (8-8)","52.971139","5.606472","-10","0","0"
"20130101_240000_000000","80_N","Stavoren","Neerslagstation (8-8)","52.884528","5.357167","1.3","0","0"
"20130101_240000_000000","81_N","Joure","Neerslagstation (8-8)","52.96625","5.822972",".8","0","1"
"20130101_240000_000000","82_N","Gorredijk","Neerslagstation (8-8)","53.010972","6.034694","-.7","0","0"
"20130101_240000_000000","84_N","Ezumazijl","Neerslagstation (8-8)","53.359083","6.148528",".1","0","0"
"20130101_240000_000000","85_N","Leeuwarden","Neerslagstation (8-8)","53.218667","5.73025",".9","0","0"
"20130101_240000_000000","86_N","Nijbeets","Neerslagstation (8-8)","53.057056","5.993806","-2","0","0"
"20130101_240000_000000","87_N","Bergumerdam","Neerslagstation (8-8)","53.1765","6.010194","1.86","0","4"
"20130101_240000_000000","89_N","Akkrum","Neerslagstation (8-8)","53.056083","5.819833","-.1","0","0"
"20130101_240000_000000","90_N","Eernewoude","Neerslagstation (8-8)","53.149917","5.939361","-1.1","0","1"
"20130101_240000_000000","91_N","Ternaard","Neerslagstation (8-8)","53.377","5.974222","1.68","0","0"
"20130101_240000_000000","134_N","Middelstum","Neerslagstation (8-8)","53.323056","6.613056","-.91","0","0"
"20130101_240000_000000","135_N","Woltersum","Neerslagstation (8-8)","53.271861","6.732111",".2","0","0"
"20130101_240000_000000","136_N","Ezinge","Neerslagstation (8-8)","53.288306","6.447417","-.6","0","0"
"20130101_240000_000000","139_N","Groningen","Neerslagstation (8-8)","53.183083","6.585056","1.96","0","0"
"20130101_240000_000000","140_N","Assen","Neerslagstation (8-8)","53.003944","6.596722","10.7","0","0"
"20130101_240000_000000","141_N","Delfzijl","Neerslagstation (8-8)","53.323222","6.939889","3.4","0","0"
"20130101_240000_000000","142_N","Warffum","Neerslagstation (8-8)","53.395472","6.556472","1.15","0","0"
"20130101_240000_000000","143_N","Finsterwolde","Neerslagstation (8-8)","53.206417","7.100389","2","0","0"
"20130101_240000_000000","144_N","Ter Apel","Neerslagstation (8-8)","52.871639","7.064861","10.84","0","0"
"20130101_240000_000000","145_N","Zoutkamp","Neerslagstation (8-8)","53.331333","6.281444","1.1","0","0"
"20130101_240000_000000","147_N","Veendam","Neerslagstation (8-8)","53.093333","6.864083","1.55","0","0"
"20130101_240000_000000","148_N","Sappemeer","Neerslagstation (8-8)","53.157778","6.738778",".3","0","0"
"20130101_240000_000000","150_N","Uithuizen","Neerslagstation (8-8)","53.408167","6.654167","1.51","0","0"
"20130101_240000_000000","151_N","Roodeschool","Neerslagstation (8-8)","53.417333","6.738806","1.86","0","0"
"20130101_240000_000000","152_N","Gieterveen","Neerslagstation (8-8)","53.030778","6.839194","3.8","0","0"
"20130101_240000_000000","153_N","Winschoten","Neerslagstation (8-8)","53.132778","7.045889","0","0","0"
"20130101_240000_000000","154_N","Eenrum","Neerslagstation (8-8)","53.365333","6.464056",".54","0","0"
"20130101_240000_000000","155_N","Eext","Neerslagstation (8-8)","53.001444","6.740361","17.73","0","0"
"20130101_240000_000000","156_N","Vlagtwedde","Neerslagstation (8-8)","53.033639","7.108722","3.1","0","0"
"20130101_240000_000000","158_N","Onnen","Neerslagstation (8-8)","53.141944","6.651639","2.6","0","0"
"20130101_240000_000000","159_N","Nieuw Buinen","Neerslagstation (8-8)","52.964417","6.948444","6.38","0","0"
"20130101_240000_000000","160_N","Veenhuizen DR","Neerslagstation (8-8)","53.050056","6.393222","8","0","0"
"20130101_240000_000000","161_N","Eelde","Neerslagstation (8-8)","53.122472","6.568833","4.3","0","0"
"20130101_240000_000000","162_N","Niekerk","Neerslagstation (8-8)","53.221","6.344556",".58","0","6"
"20130101_240000_000000","163_N","Roden","Neerslagstation (8-8)","53.155583","6.435389","3.44","0","0"
"20130101_240000_000000","164_N","Zeerijp","Neerslagstation (8-8)","53.348383","6.75625",".1","0","0"
"20130101_240000_000000","166_N","Marum","Neerslagstation (8-8)","53.141083","6.275778","2.3","0","0"
"20130101_240000_000000","171_N","Anjum","Neerslagstation (8-8)","53.384333","6.131333",".6","0","0"
"20130101_240000_000000","172_N","Nieuwolda","Neerslagstation (8-8)","53.246917","7.000444","-.11","0","0"
"20130101_240000_000000","217_N","Heiloo","Neerslagstation (8-8)","52.591611","4.732639","-.29","0","0"
"20130101_240000_000000","221_N","Enkhuizen","Neerslagstation (8-8)","52.707667","5.284639","-1.2","0","0"
"20130101_240000_000000","222_N","Hoorn NH","Neerslagstation (8-8)","52.654278","5.020417","-3.1","0","0"
"20130101_240000_000000","223_N","Schellingwoude","Neerslagstation (8-8)","52.393583","4.99325","-1.2","0","0"
"20130101_240000_000000","224_N","Edam","Neerslagstation (8-8)","52.509472","5.049417","1.4","0","1"
"20130101_240000_000000","225_N","Overveen","Neerslagstation (8-8)","52.395389","4.595167","4.14","0","4"
"20130101_240000_000000","226_N","Wijk aan Zee","Neerslagstation (8-8)","52.473778","4.597222","5.6","0","0"
"20130101_240000_000000","227_N","Anna Paulowna","Neerslagstation (8-8)","52.857694","4.839611","-1.7","0","0"
"20130101_240000_000000","228_N","Schagen","Neerslagstation (8-8)","52.773778","4.813861",".4","0","0"
"20130101_240000_000000","229_N","Zandvoort","Neerslagstation (8-8)","52.347583","4.513472","8.8","0","0"
"20130101_240000_000000","230_N","Zaandijk","Neerslagstation (8-8)","52.481222","4.808861",".8","0","0"
"20130101_240000_000000","233_N","Zaandam  (Hembrug)","Neerslagstation (8-8)","52.436111","4.803083","-1.4","0","0"
"20130101_240000_000000","234_N","Bergen NH","Neerslagstation (8-8)","52.680306","4.686444","9.2","0","0"
"20130101_240000_000000","235_N","Castricum","Neerslagstation (8-8)","52.545056","4.649972","3.74","0","1"
